,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
733,"['😭', '✨']",43,0.5116279069767442,0.5581395348837209,0.4418604651162791,0.627906976744186,0.4883720930232558,0.6744186046511628,0.5813953488372093,0.3488372093023256
734,"['🙏', '👉']",9,0.3333333333333333,1.1111111111111112,0.4444444444444444,1.2222222222222223,0.7777777777777778,0.7777777777777778,0.0,1.1111111111111112
735,"['🥰', '🥺']",8,0.5,0.25,0.25,0.375,0.25,0.375,0.25,0.25
736,"['🎉', '👉']",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
737,"['😂', '❤']",55,0.5636363636363636,0.6545454545454545,0.32727272727272727,0.8727272727272727,0.7090909090909091,0.6545454545454545,0.2909090909090909,0.7272727272727273
738,"['🇫🇷', '🔥']",2,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0
739,['🇧🇷'],145,0.2,0.7655172413793103,0.16551724137931034,0.35172413793103446,0.6344827586206897,0.1793103448275862,0.6482758620689655,1.3586206896551725
740,"['❤', '🙏', '🔴']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,['❗'],1932,1.115424430641822,0.8680124223602484,0.7106625258799172,1.5890269151138716,0.5263975155279503,1.0031055900621118,0.760351966873706,0.7153209109730849
742,"['🔥', '⚽']",115,0.017391304347826087,0.043478260869565216,0.06086956521739131,0.043478260869565216,0.034782608695652174,0.06956521739130435,0.0,0.09565217391304348
743,"['🔥', '🎉']",6,0.3333333333333333,0.8333333333333334,0.3333333333333333,1.0,1.1666666666666667,0.3333333333333333,1.0,0.8333333333333334
744,"['‼', '✨', '⚠']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,"['👉', '📍']",4,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.5
746,"['🇧🇷', '⚽']",11,0.0,1.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.7272727272727273
747,"['❤', '‼', '⚠']",11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,"['✅', '💥']",5,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.4
749,"['🔥', '❗']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
750,"['🇫🇷', '⚽']",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
751,"['❤', '🔥', '⚡']",3,0.0,3.0,0.6666666666666666,0.0,1.6666666666666667,0.0,0.0,1.3333333333333333
752,"['👉', '🥺', '✨']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753,"['🙏', '🎉', '🥺']",1,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0
754,"['⚠', '❗']",1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
755,"['🇧🇷', '💔']",1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
756,"['🤔', '🥺']",7,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855
757,"['❤', '‼', '🥺']",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
758,"['😩', '😎', '🔥']",1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
759,"['🤔', '👉']",8,0.375,0.125,0.625,0.625,0.375,0.5,0.0,1.5
760,"['✨', '🥺']",31,0.3870967741935484,0.41935483870967744,0.22580645161290322,0.3870967741935484,0.5161290322580645,0.3548387096774194,0.2903225806451613,0.3870967741935484
761,"['🥺', '👀']",13,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.15384615384615385
762,"['😩', '🙄']",31,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.0,0.0
763,"['😂', '😭', '😩']",2,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.5
764,"['😂', '❤', '👇']",1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
765,"['🚨', '✨']",5,0.2,0.6,0.4,0.2,0.2,0.6,0.2,0.4
766,"['🙏', '🤔']",46,1.934782608695652,1.0,0.9347826086956522,2.8260869565217392,1.0,1.173913043478261,0.8260869565217391,2.6739130434782608
767,"['😎', '‼', '👀']",1,1.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0
768,"['❌', '✅', '📌']",1,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0
769,"['❌', '😭']",1,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
770,"['🇧🇷', '👉']",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
771,"['🎉', '👇']",4,0.25,0.5,0.25,0.25,0.75,0.0,0.0,1.0
772,"['⭐', '❤', '📌']",1,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0
773,"['🚨', '👀']",7,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.8571428571428571
774,"['😭', '🥺', '🥰']",4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
775,"['😭', '✨', '👀']",1,4.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0
776,"['➡', '⚠']",4,0.5,1.5,0.5,0.75,0.5,1.5,0.75,0.5
777,"['✅', '📍']",27,0.8518518518518519,0.4074074074074074,0.037037037037037035,0.6296296296296297,0.3333333333333333,0.4444444444444444,0.4074074074074074,0.8148148148148148
778,"['‼', '🎉', '✨']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,"['😭', '💔', '✨']",1,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
780,"['🙏', '➡']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
781,"['‼', '👀']",2,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5
782,"['❤', '🔥']",151,0.1986754966887417,0.17880794701986755,0.11920529801324503,0.2913907284768212,0.1986754966887417,0.2185430463576159,0.15894039735099338,0.33112582781456956
783,"['🔥', '🤡']",8,1.875,1.625,1.25,1.875,1.0,1.25,0.5,2.25
784,"['📌', '📍']",1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
785,"['❤', '😎', '👉', '📍']",3,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0
786,"['‼', '🙏']",18,0.8888888888888888,0.4444444444444444,0.3333333333333333,1.5,0.5555555555555556,0.5,0.7222222222222222,0.5
787,"['😂', '🤡']",36,0.8333333333333334,0.6666666666666666,0.4444444444444444,0.8611111111111112,0.6111111111111112,0.7777777777777778,0.6111111111111112,0.7777777777777778
788,"['😎', '📍']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
