,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
512,"['👇', '⚽', '🚨']",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
513,"['👉', '👀', '❗']",2,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
514,"['🙏', '💔', '👉']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,['🙏'],2940,0.10102040816326531,0.29183673469387755,0.12244897959183673,0.16768707482993198,0.32857142857142857,0.13231292517006804,0.1251700680272109,0.6510204081632653
516,"['‼', '🔥', '🤣']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,"['⚽', '🤔']",32,0.15625,0.375,0.09375,0.21875,0.125,0.21875,0.1875,0.28125
518,"['🇧🇷', '😎', '🔥']",4,0.75,0.0,0.25,1.5,0.0,0.75,0.25,0.25
519,"['❌', '‼']",2,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5
520,['💥'],3070,0.018892508143322474,0.040390879478827364,0.0068403908794788275,0.018241042345276872,0.03713355048859935,0.016612377850162865,0.01986970684039088,0.06026058631921824
521,"['✨', '⚡']",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
522,"['❌', '🔴']",9,1.2222222222222223,0.6666666666666666,0.8888888888888888,1.0,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
523,"['👇', '‼', '😭']",1,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
524,"['❌', '✅', '❗']",1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
525,"['👉', '💥']",42,0.047619047619047616,0.14285714285714285,0.07142857142857142,0.023809523809523808,0.07142857142857142,0.023809523809523808,0.11904761904761904,0.16666666666666666
526,"['❤', '🙏', '🔥']",2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
527,"['😎', '🙏', '🔥']",1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
528,"['👇', '⚽', '🔴']",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
529,"['⭐', '📌']",3,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.3333333333333333
